Portuguese (original),American English,Latin Spanish,African French,German,Turkish,Type,Class,Hate Target
chorume,rotten,0,0,Scheiße,bulamaç,swear words,0,0
baixaria,fuckfest,vileza,0,Betrüger,değersiz,offensive,1,0
cu,asshole,culo,cul,Arsch ,büzük,offensive,0,0
cu pra tomar,shove It up your ass,tómalo por el culo,cul à prendre,Schieb es dir sonst wohin,götüne sok,swear words,1,0
vagabundo,degenerate,vagabundo ,clochard,Penner,serseri,offensive,1,0
vagabunda,slut,prostituta,salope,Schlampe,orospu,offensive,1,sexism
vagaba,slut,prostituta,garce,Schlampe,orospu,offensive,1,sexism
idiota,stupid,idiota,idiot,Idiot,geri zekalı,offensive,1,0
indiota,stupid,idiota,indien,Idiot,geri zekalı,offensive,1,0
canalha,jerk,canalla,canaille,Gauner/Schurke ,alçak,swear words,1,0
filho da puta,son of a bitch,hijo de puta,fils de pute,Hurensohn,orospu Çocuğu,swear words,1,0
filha da puta,motherfucker,hija de puta,enfoiré,Hurentochter,orospu Çocuğu,swear words,1,0
tomando no cano,getting fucked in the ass,0,pendre dans le tuyau,in den Arsch ficken,0,swear words,1,0
inútil,loser,inútil,inutile,Nutzlos/Wetlos,kullanışsız,offensive,0,0
trouxa,dumbass,gil,0,Depp ,Aptal,offensive,0,0
foda se,fuck it,jodete,va te faire foutre,Leck mich (doch) am Arsch / Du kannst mich mal,Kahretsin,swear words,1,0
foda-se,fuck it,jodete,putain de ,Scheiße/ Verdammt,Siktir et,swear words,1,0
jegue,dumbass,burro,0,Vollidiot,Sersem,offensive,0,0
nojo,yuck,asco,dégoût,Ekel,İğrenç,offensive,0,0
lixo,garbage,basura,0,Müll / menschlicher Abfall,pislik,offensive,0,0
crápula,bastard,crápula,salaud,Dreckskerl,dolandırıcı,offensive,1,0
bandido,thug,bandido,bandit,Dieb / Gangster,haydut,offensive,1,0
corja,scorn,chusma,,Gesindel / Pack,ayak takımı,offensive,0,0
trapaceiro,cheater,tramposo,infidèle,Betrüger,dolandırıcı,offensive,1,0
maldito,damned ,maldito,maudit,Ausgestoßener / Verdammter,lanet olsun,offensive,1,0
familicia,0,0,,0,0,offensive/Brazil,1,partyism
fiofó,arse,0,,Arsch,anüs,offensive,1,0
arrombar,to drill,0,,0,aşağılamak,offensive,0,0
fuder,fuck,joder,putain de ,ficken,kahretsin,offensive,1,0
foder,fuck,joder,putain de ,ficken,kahretsin,offensive,1,0
vá se fuder,fuck you,vete a la mierda,va te faire foutre !,Du kannst mich mal kreuzweise (am Arsch lecken),git kendini becer,swear words,1,0
doida,fool,loca,fou,Irrer / Verrückter / Wahnsinniger,deli,offensive,1,0
doido,fool,loco,folie,geistige Umnachtung,deli,offensive,1,0
nao tem mae,motherless,no tiene madre,aucune mère,0,0,swear words,0,0
miliciano,militiamen,miliciano,milicien,0,0,offensive,1,0
sangue suga,parasite,sanguijuela,,Parasit/Ungeziefer ,kan emici,offensive,0,0
sanguessuga,leech,sanguijuela,sangsue,,sülük,offensive,0,0
lambem o saco,ass kissers (adj) / to kiss someone's ass (v),lamben los huevos,il/elles lèchent le sac,Lutsch meinen Schwanz,enayi,offensive,1,0
criatura,creature,criatura,créature,Kreatur,yaratık,offensive,0,0
peste,plague,plaga,peste,...wie die Pest,veba,swear words,0,0
ladrão,thief,ladrón,voleur,Dieb  ,hırsız,offensive,1,0
ladra,thief,ladrona,0,Diebin,hırsız,offensive,1,0
ladrona,thief,ladrona,0,Dieb,hırsız,offensive,1,0
safado,manwhore,cabrón,fripouille,Schurke,utanmaz,offensive,1,0
asqueroso,disgusting,asqueroso,dégoûtant,bösartig (Person),mide bulandırıcı,offensive,1,0
asquerosa,disgusting,asquerosa,dégoûtant,bösartig (Person),kirli,offensive,1,0
verme,worm,parasito,ver de terre,Parasit/Ungeziefer ,parazit,offensive,0,0
traste,loser,basura,frette,Loser / Verlierer,haydut,offensive,1,0
marmiteira,grunt,0,plateau à muffins,0,0,offensive,0,0
marmiteiro,grunt,0,marmite,0,0,offensive,0,0
pedaço de estrume,piece of shit ,pedazo de mierda,espèce de fumier,Miststück,bok parçası,swear words,1,0
burro,dumbass / dumb / stupid,burro,0,Trottel (0),aptal,offensive,0,0
desgraça,doom,desgracia,malheur,Schande,rezalet,offensive,0,0
disgraça,damn it,deshonra,déshonneur,Schande,rezalet,offensive,0,0
desgraca,disgrace,desgracia,0,Schande,rezalet,offensive,0,0
petesada,libtard,0,0,0,0,offensive/Brazil,1,partyism
jumenta,dumbass,burra,âne,Trottel,aptal kadın,offensive,0,0
jumento,dumbass,burro,âne,Trottel,aptal,offensive,0,0
malandro,sleezy,travieso,fripouille,Gauner,haydut,offensive,1,0
bolsomerda,0,0,0,0,0,offensive/Brazil,1,partyism
bolsotario,0,0,0,0,0,offensive/Brazil,1,partyism
bolsootarios,0,0,0,0,0,offensive/Brazil,1,partyism
tá tomando no cú,getting fucked in the ass,te está tomando por el culo,prends ça dans le cul,Steck es dir in den Arsch,götüne sok,swear words,1,0
meleca,bogie,moco,épouventail,0,sümük,offensive,0,0
asno,donkey,asno,cul,Arsch,erkek eşek,offensive,0,0
lixo do caralho,fucking trashbag,basura,tas de merde,Ein Haufen Scheiße (sein),lanet çöp,swear words,1,0
cabra,beast (pessoa forte) (goat - literal),cabra,chèvre,(blöde) Ziege,keçi,offensive,0,0
boçal,crass,0,0,0,aptal herif,offensive,1,0
repugnante,repulsive,repugnante,répugnant,abstoßende Person,iğrenç,offensive,1,0
aloprada,reckless,demente,0,0,deli,offensive,0,0
aloprado,reckless,demente,0,0,0,offensive,0,0
mimimi,whining,0,0,mimimi / Heulsuse,0,offensive,1,0
puxar o tapete,backlash,estropear,tirer la couverture sur soi,0,sırtından vurmak,offensive,0,0
inveja da peste,green of envy,envidia de la peste,envie de peste,...wie die Pest,veba kıskançlığı,offensive/Brazil,1,0
mágoa reprimida,hard feelings,frustrada,chagrin refoulé,0,bastırılmış kin,offensive,0,0
escrota,bitch,sucia,fouineur,Schmarotzer,piç,offensive,1,0
escroto,jerk,escroto,scrotum,(Hoden)Sack,testis torbası,offensive,1,0
podre,rotten,podrido,pourri,verrotte,çürük,offensive,0,0
fanático,fanatic,fanático,fanatique,Fanatiker (0),fanatik,offensive,0,0
fanática,fanatic,fanática,fanatique,Fanatikerin (0),fanatik,offensive,0,0
duzinferno,helluva,0,0,0,cehennemden gelen,offensive,1,0
vai a merda,suck it,vete a la mierda,va te faire foutre !,Fick dich / Du kannst mich mal,siktir git,swear words,1,0
vai pro inferno,go to hell,vete al infierno,allez au diable !,Fahr zur Hölle,cehenneme git,swear words,1,0
pitaco,to nose in (v) / nosey ,criticar,astuce,0,am,offensive,0,0
calhota,scumbag,0,,Drecksack,sahtekar,offensive,1,0
chata pra caralho,fucking annoying,muy aburrida,c'est chiant à mourir,scheißlangweilig / Langweiler,çok sıkıcı,swear words,1,0
chato pra caralho,fucking annoying,muy aburrido,putain c'est chiant,scheißlangweilig / Langweilerin,çok sıkıcı,swear words,1,0
bunda mole,wimp,cobarde,cul doux,Knackarsch,ödlek,offensive,1,0
esperneia,make a scene,patalea,soupirs,eine Szene machen,0,offensive,0,0
veneno,shade,veneno,poison,Gift (0),zehir,offensive,0,0
baderna,mess,alboroto,émeutes,Krawall (0),isyan,offensive,1,0
baderneiro,troublemakers,alborotador,fauteur de troubles,Krawallschachtel,umursamaz,offensive,1,0
babaca,jerk,idiota,trou du cul,Schwachsinnig,adi herif,offensive,1,0
boca fechada não entra mosquito,better keep your mouth shut,a boca cerrada no entra moscas,aucun moustique ne rentre dans une bouche fermée,Du solltest lieber deine Fresse halten,çeneni kapalı tutmak,offensive,1,0
mesquinha,petty,tacaña,avare,Geizhals,pinti,offensive,1,0
mesquinho,petty,tacaño,avare,Geizhals,pinti,offensive,1,0
você não engana ninguém,you fool no one,no engañas a nadie,vous ne trompez personne,Willst du mich zum Narren halten(0),sadakatsiz,offensive,1,0
traíra,backstabber,traidor,,Verräter,hain,offensive,0,0
traíras,backstabbers,traidores,chalutiers,Verräter,hainler,offensive,0,0
burrice,dumb,estupidez,,Dummheit,aptallık,offensive,1,0
cala boca,shut up,callate,tais-toi !,Maul halten,kapa çeneni,offensive,1,0
cala a boca,shut up,cierra la boca,tais-toi !,Halt dein Maul,kapa çeneni,offensive,1,0
cala essa boca,shut the hell up,cierra la boca,fermez votre gueule !,Halt deine Fresse,kapa çeneni,offensive,1,0
cala sua boca,shut your mouth,cierra la boca,fermez votre gueule !,Halt deine Fresse,kapa çeneni,offensive,1,0
falar pelo cotovelo,loudmouth,habla hasta por los codos,tirer la langue,hüte deine Zunge,geveze,offensive,1,0
mimadinho,spoiled,mocoso maleducado,gâté,verzogen,şımarık,offensive,1,0
tonto de carteirinha,dork,0,fou furieux,Volltrottel,embesil,offensive,1,0
plantar o terror,raise hell,sembrar terror,0,Terrorist (0),sorun çıkarmak,offensive,1,0
falta cérebro,empty head / empty headed,falta de cerebro,écervelé,Hirnlos,beyinsiz,offensive,1,0
tapa boca,mouth gag,cierra la boca,coup de gueule,eine Klatschen / Ohrfeige,0,offensive,0,0
bunda,ass,culo,cul,Arsch,göt,offensive,1,0
nota de três,fake as 3 dollar bill,billete de tres,note de 3,0,sahte,offensive,1,0
esquerdopata,libtard,0,gauchiste,0,solcu,offensive/Brazil,1,partyism
zé ruela,loser / fool,insignificante,0,Loser / Verlierer,ezik,offensive,1,0
caraí,shit,0,0,Scheiße,bok,swear words,1,0
karai,shit,0,0,Scheiße,bok,swear words,1,0
almofadinha,fancy pants,ricachón,coussin,Schnösel,zübbe,offensive,0,0
se enxerga,get your head out of your ass,0,0,Nimm den Stock aus dem Arsch,0,offensive,0,0
cara de pau,shameless,cara de palo,sans vergogne,schamlos ,utanmaz,swear words,1,0
gentalha,(white) trash,gentuza,racaille,Abschaum,pislik,offensive,1,0
estúpido,rude,estúpido,stupide,Idiot ,aptal,offensive,1,0
estúpida,rude,estúpida,stupide,Idiotin ,geri zekalı,offensive,1,0
escárnio,shade,burla,moquérie,Verspotten,alay,offensive,1,0
caí fora,beat it,lo dejé,je suis sorti,0,defol git,swear words,0,0
picuinha,beef,quisquillosa,0,0,dırdır etmek,offensive,1,0
globolixo,Globo trash,0,globetrotter,0,0,offensive/Brazil,1,0
globo lixo,Globo trash,0,0,0,0,offensive/Brazil,1,0
porra,fuck,mierda,putain,Hure / Nutte,kahretsin,swear words,0,0
não presta,worthless,no sirve,pas bien,Nutzlos/Wertlos,tırt,offensive,0,0
dor de cutuvelo,(green of) envy,mal perdedor,douleur cutanée,Grün vor Eifersucht,kıskançlık,offensive,0,0
dor de cotovelo,(green of) envy,mal perdedor,raisins acides,Grün vor Eifersucht,kıskançlık,offensive,0,0
vista grossa,cut some slack,vista gorda,oeil aveugle,0,müsamaha tmek,offensive,0,0
não cola mais,(it) won't cut it,no lo hagas más,plus de colle,0,0,offensive,0,0
que nojo,yuck,que asco,répugnant,abstoßend (Person),mide bulandırıcı,offensive,1,0
lixo humano,garbage (person),basura humana,déchet humains,menschlicher Abfall,insan müsveddesi,offensive,1,0
lixo de ser humano,piece of garbage,basura de ser humano,déchet humains,menschlicher Abfall,insan müsveddesi,offensive,1,0
chita,big-headed,guepardo,guépard,0,çita,offensive,0,racism
mulher lixo,bitch,cualquiera,femme vulgaire,Schlampe,kaltak,offensive,1,0
canalhice,fuckery,canallada,infamie e ,Schande (sein),saçmalık,offensive,1,0
fala só merda,trash talking,habla solo mierda,parler de merde,Scheiße labern / reden,boktan konuşma,swear words,1,0
facista,facist,facista,faciste,Faschist ,faşist,offensive,0,partyism
cambada,gang,pandilla,bouquet de fleur,0,çete,offensive,0,0
bolsonazi,Bolsonazi,0,0,0,0,offensive/Brazil,1,partyism
cafageste,jerk,grosero,rascal,Schurke,hödük,offensive,1,0
pilantra,scumbag,aprovechador,scélérat,Schurke / Schuft / Gauner,adi pislik,offensive,1,0
pilantrona,scumbag,aprovechadora,0,Schurke / Schuft / Gauner,adi pislik,offensive,1,0
milico de merda,fucking militia rat,0,putain de milice,Scheiß (Person),milis sıçanı,swear words,1,partyism
falido,bankrupt,quebrado,banqueroute,Pleite,iflas etmiş,offensive,0,0
repudiante,repulsive,repugnante,répugnant,Ekelhaft,tiksindirici,offensive,1,0
petralha,libtard,0,0,0,0,offensive/Brazil,1,partyism
fogo no racista,burn the racist,quemen al racista,a bas le racisme,verbrennt den Rassisten,ırkçıyı yakmak,offensive,1,0
parasita,parasite,parasito,parasite,Parasit /Schmarotzer ,parazit,offensive,0,0
boca podre,foul-mouthed,boca de vómito,bouche à oreille,Großmaul /Hackfresse ,çürük ağız,offensive,1,0
chata,annoying,molestosa,ennuyeux,nervig,sinir tip,offensive,0,0
insuportável,unbearable,insoportable,insoutenable,unerträglich,çekilmez,offensive,1,0
traidor da Pátria,traitor ,traidor de la patria,traître à la patrie,Verräter am Vaterland,vatan haini,offensive,1,0
bandido bom é bandido morto,Good thieves are dead thieves,bandido bueno es bandido muerto,un bon criminel est un criminel mort,0,güzel haydut ölü hayduttur,offensive/Brazil,1,0
cadeia nele,lock him up,prisión para ele,le mettre en prison,...gehört in den Knast,onu hapset,offensive,1,0
comunista,commie,comunista,communiste,"Kommunist, Kommunistin ",komünist,offensive,0,partyism
bosta,shit,mierda,caca,Scheiße,bok,offensive,0,0
corrupto,corrupt,corrupto,corrompu,korrupt/ verdorben ,yozlaşmış,offensive,1,0
analfabeta,iliterate,analfabeta,analphabète,Analphabet,cahil,offensive,0,0
analfabeto,iliterate,analfabeto,analphabète,Analphabet ,cahil,offensive,0,0
PT quadrilha,PT Gang,0,0,0,PT çetesi,offensive/Brazil,1,partyism
ridícula,ridiculous,ridícula,ridicule,lächerlich,saçma,offensive,1,0
rídiculo,ridiculous,ridículo,ridicule,lächerlich,saçma,offensive,1,0
nojenta,nasty,asquerosa,dégoûtant,ekelhaft,iğrenç bir şekilde,offensive,1,0
nojento,nastu,asqueroso,répugnant,ekelhaft,tiksindirici,offensive,1,0
