term-or-expression,explicit-or-implicit,pt-brazilian-portuguese,pt-contextual-label,pt-hate-label,pt-deeply-culture-rooted,en-american-english,en-contextual-label,en-hate-label,es-latin-spanish,es-contextual-label,es-hate-label,fr-african-french,fr-contextual-label,fr-hate-Label,ge-german,ge-contextual-label,ge-hate-Label,tu-turkish,tu-contextual-label,tu-hate-Label,Meaning Sources
term,explicit,chorume,1,0,0,rotten,0,0,0,0,0,0,0,0,Scheiße,0,0,bulamaç,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/chorume
term,explicit,baixaria,1,0,0,fuckfest,1,0,vileza,1,0,0,0,0,Betrüger,1,0,değersiz,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/baixaria/
term,explicit,cu,0,0,0,asshole,0,0,culo,0,0,cul,0,0,Arsch ,0,0,büzük,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/cu/
expression,explicit,cu pra tomar,1,0,0,out on your ass,1,0,culo para coger,1,0,cul à prendre,1,0,Schieb es dir sonst wohin,1,0,götüne sok,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/out-on-your-ass?q=out+your+ass
term,explicit,vagabundo,1,0,0,degenerate,1,0,vagabundo ,1,0,clochard,1,0,Penner,1,0,serseri,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/vagabundo/
term,explicit,vagabunda,1,sexism,0,slut,1,sexism,prostituta,1,sexism,salope,1,sexism,Schlampe,1,sexism,orospu,1,sexism,"https://www.dicio.com.br/vagabunda/#:~:text=Significado%20de%20Vagabunda,embora%20n%C3%A3o%20viva%20da%20prostitui%C3%A7%C3%A3o."
term,explicit,vagaba,1,sexism,0,slut,1,sexism,prostituta,1,sexism,garce,1,sexism,Schlampe,1,sexism,orospu,1,sexism,"https://www.dicio.com.br/vagabunda/#:~:text=Significado%20de%20Vagabunda,embora%20n%C3%A3o%20viva%20da%20prostitui%C3%A7%C3%A3o."
term,explicit,idiota,1,0,0,stupid,1,0,idiota,1,0,idiot,1,0,Idiot,1,0,geri zekalı,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/idiota/
term,explicit,indiota,1,0,0,stupid,1,0,idiota,1,0,indien,1,0,Idiot,1,0,geri zekalı,1,0,https://dictionary.cambridge.org/dictionary/english/idiotic
term,explicit,canalha,1,0,0,jerk,1,0,canalla,1,0,canaille,1,0,Gauner/Schurke ,1,0,alçak,1,0,https://www.dicio.com.br/canalha/
expression,explicit,filho da puta,1,0,0,son of a bitch,1,0,hijo de puta,1,0,fils de pute,1,0,Hurensohn,1,0,orospu Çocuğu,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles-portugues/son-of-a-bitch
expression,explicit,filha da puta,1,0,0,motherfucker,1,0,hija de puta,1,0,enfoiré,1,0,Hurentochter,1,0,orospu Çocuğu,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/motherfucker
term,explicit,inútil,0,0,0,loser,0,0,inútil,0,0,inutile,0,0,Nutzlos/Wetlos,0,0,kullanışsız,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/in%C3%BAtil/
term,explicit,trouxa,0,0,0,dumbass,0,0,gil,0,0,0,0,0,Depp ,0,0,Aptal,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/trouxa/
term,explicit,foda se,1,0,0,fuck it,1,0,jodete,1,0,va te faire foutre,1,0,Leck mich (doch) am Arsch / Du kannst mich mal,1,0,Kahretsin,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/fuck-you-them-it?q=fuck+it
